State,modifiedLawsin2018or2019,hasDOBasPI,hasOnlineAccountsasPI,onlyRequiresAccess,governmentInvolvementRequired,thresholdNotifyAG,thresholdNotifyCRA,timeFrame,serviceProvidersNotifyImmediately,harmAnalysisAllowed,harmAnalysisRequired,financialAccountInformationisPI, notifyAGRequired
Alabama,TRUE,FALSE,TRUE,FALSE,TRUE,1000,1000,45,FALSE,TRUE,TRUE,TRUE,TRUE
Alaska,FALSE,FALSE,FALSE,FALSE,FALSE,,1000,,FALSE,TRUE,TRUE,TRUE,TRUE
Arizona,TRUE,FALSE,TRUE,FALSE,TRUE,1000,1000,45,TRUE,TRUE,TRUE,TRUE,TRUE
Arkansas,TRUE,FALSE,FALSE,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,FALSE
California,TRUE,FALSE,TRUE,TRUE,FALSE,500,,15,TRUE,FALSE,FALSE,TRUE,TRUE
Colorado,TRUE,FALSE,TRUE,FALSE,TRUE,500,1000,30,TRUE,TRUE,TRUE,TRUE,TRUE
Connecticut,TRUE,FALSE,FALSE,TRUE,TRUE,,,90,TRUE,TRUE,TRUE,TRUE,TRUE
Delaware,FALSE,FALSE,TRUE,FALSE,TRUE,500,,60,TRUE,TRUE,TRUE,TRUE,TRUE
Florida,FALSE,FALSE,TRUE,TRUE,TRUE,500,,30,TRUE,TRUE,TRUE,TRUE,TRUE
Georgia,FALSE,FALSE,FALSE,FALSE,TRUE,,10000,,TRUE,FALSE,FALSE,TRUE,FALSE
Hawaii,TRUE,FALSE,FALSE,FALSE,TRUE,1000,,,TRUE,TRUE,TRUE,TRUE,TRUE
Idaho,FALSE,FALSE,FALSE,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE
Illinois,TRUE,FALSE,TRUE,FALSE,FALSE,250,,,TRUE,FALSE,FALSE,TRUE,TRUE
Indiana,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,TRUE,TRUE,TRUE,TRUE,TRUE
Iowa,TRUE,FALSE,FALSE,FALSE,TRUE,500,,,TRUE,TRUE,TRUE,TRUE,TRUE
Kansas,FALSE,FALSE,FALSE,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,FALSE
Kentucky,TRUE,FALSE,FALSE,FALSE,TRUE,,1000,,FALSE,TRUE,TRUE,TRUE,FALSE
Louisiana,TRUE,FALSE,FALSE,FALSE,FALSE,,,60,FALSE,TRUE,TRUE,TRUE,TRUE
Maine,TRUE,FALSE,FALSE,FALSE,TRUE,1,,7,TRUE,TRUE,TRUE,TRUE,TRUE
Maryland,TRUE,FALSE,TRUE,FALSE,FALSE,1,,45,FALSE,TRUE,TRUE,TRUE,TRUE
Massachusetts,TRUE,FALSE,FALSE,FALSE,FALSE,1,,,FALSE,TRUE,TRUE,TRUE,TRUE
Michigan,TRUE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,TRUE,TRUE,TRUE,FALSE
Minnesota,FALSE,FALSE,FALSE,FALSE,TRUE,,500,,TRUE,FALSE,FALSE,TRUE,FALSE
Mississippi,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,TRUE,TRUE,TRUE,FALSE
Missouri,TRUE,FALSE,FALSE,FALSE,TRUE,1000,1000,,TRUE,TRUE,TRUE,TRUE,TRUE
Montana,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,TRUE,TRUE,TRUE,TRUE,TRUE
Nebraska,TRUE,FALSE,TRUE,FALSE,TRUE,1,,,FALSE,TRUE,TRUE,TRUE,TRUE
Nevada,FALSE,FALSE,TRUE,FALSE,FALSE,,,,TRUE,TRUE,TRUE,TRUE,FALSE
New Hampshire,TRUE,FALSE,FALSE,FALSE,FALSE,1,1000,,TRUE,TRUE,TRUE,TRUE,TRUE
New Jersey,TRUE,FALSE,FALSE,TRUE,TRUE,1,,,TRUE,TRUE,TRUE,TRUE,TRUE
New Mexico,TRUE,FALSE,FALSE,FALSE,TRUE,1000,1000,45,FALSE,TRUE,TRUE,TRUE,TRUE
New York,TRUE,FALSE,FALSE,FALSE,TRUE,1,5000,,TRUE,FALSE,FALSE,TRUE,TRUE
North Carolina,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,TRUE,TRUE,TRUE,TRUE,TRUE
North Dakota,FALSE,TRUE,FALSE,FALSE,TRUE,250,,,TRUE,FALSE,FALSE,TRUE,TRUE
Ohio,TRUE,FALSE,FALSE,FALSE,TRUE,250,1000,45,FALSE,TRUE,TRUE,TRUE,TRUE
Oklahoma,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,TRUE,TRUE,TRUE,FALSE
Oregon,TRUE,FALSE,FALSE,FALSE,FALSE,250,1000,45,FALSE,TRUE,TRUE,TRUE,TRUE
Pennsylvania,FALSE,FALSE,FALSE,FALSE,TRUE,,1000,,FALSE,TRUE,TRUE,TRUE,FALSE
Rhode Island,FALSE,FALSE,FALSE,FALSE,TRUE,500,,45,FALSE,TRUE,FALSE,TRUE,TRUE
South Carolina,TRUE,FALSE,FALSE,FALSE,FALSE,1000,,,TRUE,TRUE,TRUE,TRUE,TRUE
South Dakota,TRUE,FALSE,TRUE,FALSE,TRUE,250,,60,FALSE,TRUE,TRUE,TRUE,TRUE
Tennessee,TRUE,FALSE,FALSE,FALSE,FALSE,,,45,FALSE,TRUE,TRUE,TRUE,FALSE
Texas,TRUE,FALSE,FALSE,FALSE,FALSE,,10000,,TRUE,FALSE,FALSE,TRUE,TRUE
Utah,TRUE,FALSE,FALSE,FALSE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,FALSE
Vermont,FALSE,FALSE,FALSE,FALSE,TRUE,1,1000,45,TRUE,TRUE,TRUE,TRUE,TRUE
Virginia,TRUE,FALSE,FALSE,FALSE,FALSE,1000,1000,,FALSE,TRUE,TRUE,TRUE,TRUE
Washington,TRUE,FALSE,FALSE,FALSE,FALSE,500,,45,TRUE,TRUE,TRUE,TRUE,TRUE
West Virginia,FALSE,FALSE,FALSE,FALSE,TRUE,,1000,,FALSE,TRUE,TRUE,TRUE,FALSE
Wisconsin,FALSE,FALSE,FALSE,FALSE,TRUE,1,1000,45,FALSE,TRUE,TRUE,TRUE,TRUE
Wyoming,FALSE,FALSE,TRUE,FALSE,TRUE,,,,FALSE,TRUE,TRUE,TRUE,FALSE
District of Columbia,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,FALSE,TRUE,FALSE
Puerto Rico,FALSE,FALSE,FALSE,TRUE,FALSE,1,,,FALSE,FALSE,FALSE,TRUE,TRUE
Virgin Islands,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,FALSE,FALSE,TRUE,FALSE
Guam,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,FALSE,FALSE,TRUE,FALSE
